Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med
BGENL079-23_r_1_s_50_BGENL079-23,BGENL079-23,1353295,822,100,1533,26.0,85.0,53.12524461839531,50.0
BGENL080-23_r_1_s_50_BGENL080-23,BGENL080-23,4952397,773,34,1533,16.0,68.0,40.228962818003914,41.0
BGENL081-23_r_1_s_50_BGENL081-23,BGENL081-23,5656898,368,67,1533,1.0,43.0,18.698630136986303,18.0
BGENL082-23_r_1_s_50_BGENL082-23,BGENL082-23,476924,104,6,1533,0.0,12.0,5.36986301369863,5.0
BGENL083-23_r_1_s_50_BGENL083-23,BGENL083-23,2033698,246,30,1533,1.0,26.0,10.778864970645792,10.0
BGENL084-23_r_1_s_50_BGENL084-23,BGENL084-23,657690,68,21,1533,0.0,12.0,3.6692759295499022,3.0
BGENL085-23_r_1_s_50_BGENL085-23,BGENL085-23,346643,57,11,1545,0.0,10.0,3.021359223300971,3.0
BGENL086-23_r_1_s_50_BGENL086-23,BGENL086-23,1350645,163,7,1545,0.0,25.0,8.697087378640777,8.0
BGENL087-23_r_1_s_50_BGENL087-23,BGENL087-23,455856,64,18,1545,0.0,14.0,2.6679611650485437,2.0
BGENL088-23_r_1_s_50_BGENL088-23,BGENL088-23,1592706,94,26,1533,0.0,28.0,4.6438356164383565,4.0
BGENL089-23_r_1_s_50_BGENL089-23,BGENL089-23,1016079,157,5,1533,0.0,18.0,6.549902152641879,6.0
BGENL090-23_r_1_s_50_BGENL090-23,BGENL090-23,1859024,786,97,1533,12.0,77.0,37.34050880626223,34.0
BGENL091-23_r_1_s_50_BGENL091-23,BGENL091-23,745294,156,34,1545,0.0,17.0,7.506796116504854,7.0
BGENL092-23_r_1_s_50_BGENL092-23,BGENL092-23,192372,56,8,1545,0.0,10.0,2.8504854368932038,2.0
BGENL093-23_r_1_s_50_BGENL093-23,BGENL093-23,812557,190,14,1545,0.0,24.0,8.223300970873787,7.0
BGENL094-23_r_1_s_50_BGENL094-23,BGENL094-23,10379303,1160,14,1545,1.0,81.0,46.19223300970874,44.0
BGENL095-23_r_1_s_50_BGENL095-23,BGENL095-23,17859847,1349,59,1545,0.0,104.0,61.16116504854369,62.0
BGENL096-23_r_1_s_50_BGENL096-23,BGENL096-23,24640429,5600,182,1533,230.0,526.0,341.8923679060665,335.0
BGENL097-23_r_1_s_50_BGENL097-23,BGENL097-23,21996654,2503,107,1533,67.0,246.0,141.6536203522505,134.0
BGENL098-23_r_1_s_50_BGENL098-23,BGENL098-23,11821305,1247,213,1533,43.0,120.0,70.20547945205479,68.0
BGENL099-23_r_1_s_50_BGENL099-23,BGENL099-23,6094104,3326,65,1533,115.0,249.0,177.53424657534248,178.0
BGENL100-23_r_1_s_50_BGENL100-23,BGENL100-23,220652,98,6,1533,0.0,15.0,6.6966731898238745,6.0
BGENL101-23_r_1_s_50_BGENL101-23,BGENL101-23,33638578,9002,140,1533,298.0,709.0,483.9765166340509,475.0
BGENL102-23_r_1_s_50_BGENL102-23,BGENL102-23,11202835,3692,191,1533,96.0,278.0,195.15655577299412,197.0
BGENL103-23_r_1_s_50_BGENL103-23,BGENL103-23,194616,42,24,1533,0.0,8.0,2.6418786692759295,2.0
BGENL104-23_r_1_s_50_BGENL104-23,BGENL104-23,2085345,841,10,1533,25.0,73.0,45.146771037182,44.0
BGENL105-23_r_1_s_50_BGENL105-23,BGENL105-23,9839375,1260,246,1533,46.0,190.0,77.40704500978474,75.0
BGENL106-23_r_1_s_50_BGENL106-23,BGENL106-23,6524779,1557,185,1533,50.0,143.0,92.36203522504893,92.0
BGENL107-23_r_1_s_50_BGENL107-23,BGENL107-23,2088259,953,38,1533,35.0,108.0,63.87279843444227,59.0
BGENL108-23_r_1_s_50_BGENL108-23,BGENL108-23,1198664,809,86,1533,27.0,103.0,57.04500978473581,55.0
BGENL109-23_r_1_s_50_BGENL109-23,BGENL109-23,3795503,28371,191,1533,1617.0,3215.0,2328.293542074364,2268.0
BGENL110-23_r_1_s_50_BGENL110-23,BGENL110-23,7208152,876,237,1533,40.0,115.0,60.827788649706456,60.0
BGENL111-23_r_1_s_50_BGENL111-23,BGENL111-23,17131115,2824,777,1533,68.0,251.0,187.81017612524462,191.0
BGENL112-23_r_1_s_50_BGENL112-23,BGENL112-23,1517850,486,35,1533,7.0,63.0,27.939334637964777,24.0
BGENL113-23_r_1_s_50_BGENL113-23,BGENL113-23,16045497,5260,280,1533,88.0,681.0,263.06849315068496,230.0
BGENL114-23_r_1_s_50_BGENL114-23,BGENL114-23,13427707,892,315,1533,19.0,111.0,42.66731898238748,40.0
BGENL115-23_r_1_s_50_BGENL115-23,BGENL115-23,1882991,86,30,1533,0.0,10.0,4.526418786692759,4.0
BGENL116-23_r_1_s_50_BGENL116-23,BGENL116-23,3262602,292,75,1533,7.0,37.0,18.859099804305284,18.0
BGENL117-23_r_1_s_50_BGENL117-23,BGENL117-23,6408172,1212,220,1533,53.0,136.0,95.56947162426614,94.0
BGENL118-23_r_1_s_50_BGENL118-23,BGENL118-23,3888412,949,24,1533,32.0,94.0,60.35616438356164,58.0
BGENL119-23_r_1_s_50_BGENL119-23,BGENL119-23,879292,130,14,1533,1.0,15.0,7.397260273972603,7.0
BGENL120-23_r_1_s_50_BGENL120-23,BGENL120-23,2909911,172,42,1533,2.0,17.0,9.876712328767123,10.0
BGENL121-23_r_1_s_50_BGENL121-23,BGENL121-23,19540655,3206,176,1533,84.0,293.0,181.77299412915852,182.0
BGENL122-23_r_1_s_50_BGENL122-23,BGENL122-23,813210,725,18,1533,16.0,62.0,37.43052837573386,38.0
BGENL123-23_r_1_s_50_BGENL123-23,BGENL123-23,5607583,428,23,1533,5.0,28.0,18.837573385518592,20.0
BGENL124-23_r_1_s_50_BGENL124-23,BGENL124-23,3849829,234,653,1545,0.0,54.0,10.807766990291261,9.0
BGENL125-23_r_1_s_50_BGENL125-23,BGENL125-23,2609001,16311,201,1545,0.0,1581.0,1140.4407766990291,1144.0
BGENL126-23_r_1_s_50_BGENL126-23,BGENL126-23,5351585,1185,828,1545,0.0,155.0,73.77281553398058,73.0
BGENL127-23_r_1_s_50_BGENL127-23,BGENL127-23,6953994,569,156,1533,13.0,65.0,31.303326810176124,30.0
BGENL128-23_r_1_s_50_BGENL128-23,BGENL128-23,4494311,605,73,1533,17.0,62.0,34.86888454011741,35.0
BGENL129-23_r_1_s_50_BGENL129-23,BGENL129-23,37077340,12307,616,1533,525.0,1324.0,792.0039138943249,760.0
BGENL130-23_r_1_s_50_BGENL130-23,BGENL130-23,775047,1376,21,1533,0.0,171.0,105.4481409001957,104.0
BGENL131-23_r_1_s_50_BGENL131-23,BGENL131-23,78661,20,8,1533,0.0,6.0,1.1506849315068493,1.0
BGENL132-23_r_1_s_50_BGENL132-23,BGENL132-23,13033058,2680,342,1533,4.0,432.0,144.95303326810176,132.0
BGENL133-23_r_1_s_50_BGENL133-23,BGENL133-23,26984616,3676,307,1533,85.0,274.0,191.65166340508807,191.0
BGENL134-23_r_1_s_50_BGENL134-23,BGENL134-23,1715321,544,22,1533,18.0,64.0,38.3013698630137,38.0
