ambig_basecount	ambig_full_basecount	cov_avg	cov_max	cov_min	dataset	error	identification	identification_method	identification_rank	length	n_aligned	n_reads	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	skipped_reads_low_rel_score	species	stop_codons
0	0	19.9583	None	None	data/skim2mito_default.fasta	None	Limnephilidae	BLAST	family	289	98	3023344	245	288	Limnephilidae	BSNHM155-24_contig6;1-288;-;cox1	None	Halesus tessellatus	0
0	0	10.0586	None	None	data/skim2mito_default.fasta	None	Limnephilidae	BLAST	family	307	46	4591780	130	306	Limnephilidae	BSNHM157-24_contig5;58-363;-;cox1	None	Consorophylax montivagus	0
0	0	55.9198	None	None	data/skim2mito_default.fasta	None	Limnephilidae	BLAST	family	262	221	16762662	160	261	Hybotidae,Crambidae,Limnephilidae,Uenoidae,Goeridae	BSNHM158-24_contig2;571-831;-;cox1	None	Micropterna malaspina	0
0	0	24.9296	None	None	data/skim2mito_default.fasta	None	Limnephilidae	BLAST	family	568	191	4009804	524	567	Limnephilidae	BSNHM166-24_contig3;189-755;-;cox1	None	Halesus tessellatus	0
0	0	78.8614	None	None	data/skim2mito_default.fasta	None	Limnephilidae	BLAST	family	808	1066	29455136	221	807	Limnephilidae	BSNHM168-24_contig2;3-809;+;cox1	None	Dicosmoecus palatus	2
0	0	87.6792	None	None	data/skim2mito_default.fasta	None	Thremmatidae	BLAST	family	1540	1723	18786334	657	1539	Hepialidae,Pieridae,Hesperiidae,Geometridae,Glossosomatidae	BSNHM171-24_contig0;1672-3210;+;cox1	None	Thremma sardoum	0
0	0	84.8358	None	None	data/skim2mito_default.fasta	None	Heptageniidae	BLAST	family	1516	1509	22853566	657	1515	Tortricidae,Choreutidae,Limacodidae,Zygaenidae,Leptoceridae	BSNHM172-24_contig0;472-1986;+;cox1	None	Heptagenia coerulans	0
0	0	11.8125	None	None	data/skim2mito_default.fasta	None	Limnephilidae	BLAST	family	160	24	5882548	117	159	Limnephilidae	BSNHM177-24_contig0;214-372;+;cox1	None	Colpotaulius incisus	0
0	0	17.1849	None	None	data/skim2mito_default.fasta	None	Limnephilidae	BLAST	family	238	62	3756980	104	237	Culicidae,Limnephilidae	BSNHM179-24_contig4;715-951;-;cox1	None	Drusus chapmani	0
0	0	59.8072	None	None	data/skim2mito_default.fasta	None	Philopotamidae	BLAST	family	856	856	12297346	1	855	Syrphidae,Tachinidae,Noctuidae,Erebidae,Crambidae,Philopotamidae	BSNHM180-24_contig3;246-1100;-;cox1	None	Wormaldia mediana	0
0	0	14.8113	None	None	data/skim2mito_default.fasta	None	Rhyacophilidae	BLAST	family	265	67	3671056	218	264	Muscidae,Rhyacophilidae	BSNHM181-24_contig5;83-346;-;cox1	None	Rhyacophila martynovi	0
0	0	14.7824	None	None	data/skim2mito_default.fasta	None	Perlodidae	BLAST	family	547	118	3688292	72	546	Perlodidae,Capniidae,Leuctridae,Calliphoridae,Corydalidae	BSNHM184-24_contig1;2-547;+;cox1	None	Isoperla viridinervis	0
0	0	20.5505	None	None	data/skim2mito_default.fasta	None	Taeniopterygidae	BLAST	family	1546	438	3785446	656	1545	Nemouridae,Capniidae,Taeniopterygidae	BSNHM185-24_contig2;1525-3069;+;cox1	None	Oemopteryx loewii	0
0	0	34.3322	None	None	data/skim2mito_default.fasta	None	Beraeidae	BLAST	family	892	503	27170752	209	891	Syrphidae,Chloropidae,Drosophilidae,Tachinidae,Geometridae,Beraeidae,Corydalidae	BSNHM186-24_contig7;1-891;+;cox1	None	Beraea aureomarginata	0
0	0	25.1899	None	None	data/skim2mito_default.fasta	None	Limnephilidae	BLAST	family	1564	484	4968934	656	1563	Limnephilidae	BSNHM188-24_contig2;1431-2993;+;cox1	None	Potamophylax millenii	0
